Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),"	24h Low (USD)",Adj Close,Volume
USD,7/29/2015,289.589996,294.484009,294.536011,288.777008,289.589996,24672600
USD,7/30/2015,287.721985,289.102997,290.126007,286.567993,287.721985,21635800
USD,7/31/2015,284.649994,287.696014,288.959015,282.343994,284.649994,23629100
USD,8/1/2015,281.601013,284.686005,284.932007,278.112,281.601013,18995000
USD,8/2/2015,282.614014,280.449005,283.032013,277.528992,282.614014,17722200
USD,8/3/2015,281.22699,282.806,285.471008,280.233002,281.22699,21474100
USD,8/4/2015,285.217987,281.225006,285.714996,281.225006,285.217987,21908700
USD,8/5/2015,281.881989,284.846985,285.501007,281.488007,281.881989,20128000
USD,8/6/2015,278.576996,281.906006,281.906006,278.403015,278.576996,18792100
USD,8/7/2015,279.584991,278.740997,280.391998,276.365997,279.584991,42484800
USD,8/8/2015,260.997009,279.742004,279.928009,260.709991,260.997009,58533000
USD,8/9/2015,265.083008,261.115997,267.002991,260.467987,265.083008,23789600
USD,8/10/2015,264.470001,265.477997,267.032013,262.596008,264.470001,20979400
USD,8/11/2015,270.385986,264.34201,270.385986,264.093994,270.385986,25433900
USD,8/12/2015,266.376007,270.597992,270.673004,265.468994,266.376007,26815400
USD,8/13/2015,264.079987,266.183014,266.231995,262.841003,264.079987,27685500
USD,8/14/2015,265.679993,264.131989,267.466003,261.477997,265.679993,27091200
USD,8/15/2015,261.550995,265.528992,266.666992,261.29599,261.550995,19321100
USD,8/16/2015,258.506989,261.865997,262.440002,257.040985,258.506989,29717000
USD,8/17/2015,257.976013,258.48999,260.505005,257.117004,257.976013,21617900
USD,8/18/2015,211.078995,257.925995,257.993011,211.078995,211.078995,42147200
USD,8/19/2015,226.684006,225.671005,237.408997,222.766006,226.684006,60869200
USD,8/20/2015,235.350006,226.899002,237.365005,226.899002,235.350006,32275000
USD,8/21/2015,232.569,235.354996,236.432007,231.723999,232.569,23173800
USD,8/22/2015,230.389999,232.662003,234.957001,222.703995,230.389999,23205900
USD,8/23/2015,228.169006,230.376007,232.705002,225.580002,228.169006,18406600
USD,8/24/2015,210.494995,228.112,228.139008,210.442993,210.494995,59220700
USD,8/25/2015,221.608994,210.067993,226.320999,199.567001,221.608994,61089200
USD,8/26/2015,225.830994,222.076004,231.182999,220.203995,225.830994,31808000
USD,8/27/2015,224.768997,226.050003,228.643005,223.684006,224.768997,21905400
USD,8/28/2015,231.395996,224.701004,235.218994,220.925995,231.395996,31336600
USD,8/29/2015,229.779999,231.548996,233.222,227.330002,229.779999,17142500
USD,8/30/2015,228.761002,229.895004,232.067993,226.246994,228.761002,19412600
USD,8/31/2015,230.056,229.113998,231.955994,225.914993,230.056,20710700
USD,9/1/2015,228.121002,230.255997,231.216003,226.860001,228.121002,20575200
USD,9/2/2015,229.283997,228.026993,230.576996,226.475006,229.283997,18760400
USD,9/3/2015,227.182999,229.324005,229.604996,226.667007,227.182999,17482000
USD,9/4/2015,230.298004,227.214996,230.899994,227.050995,230.298004,20962400
